Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
243,Southern Miss,SB,16-16,-5.77,101.3,107.1,68.1,+.055,-0.88,105.6,106.5,+1.18
244,Albany,AE,13-19,-5.82,105.3,111.1,73.1,-.079,-3.32,102.9,106.2,-3.25
245,Austin Peay,ASun,19-16,-5.92,108.2,114.1,64.8,+.052,-3.32,105.6,109.0,+4.29
246,New Hampshire,AE,16-15,-5.95,100.0,106.0,71.5,+.077,-2.48,104.1,106.6,+0.24
247,Cal St. Bakersfield,BW,13-19,-6.05,101.1,107.2,64.9,-.035,-1.31,105.5,106.8,+0.40
248,San Jose St.,MWC,9-23,-6.18,105.8,112.0,65.8,-.038,+5.08,109.4,104.3,-4.10
249,Mount St. Mary's,MAAC,13-19,-6.25,102.5,108.7,69.2,-.118,-6.42,101.3,107.7,-5.44
250,Northeastern,CAA,12-20,-6.29,105.3,111.6,65.8,-.018,-1.28,105.6,106.9,+1.05
251,Portland St.,BSky,17-15,-6.32,99.6,105.9,69.4,+.033,-3.50,105.3,108.8,-0.81
252,North Alabama,ASun,15-17,-6.41,105.7,112.1,67.9,+.009,-3.28,105.8,109.1,+1.97
253,North Carolina Central,MEAC,18-13,-6.62,105.0,111.6,66.7,-.004,-8.18,100.0,108.2,+0.27
254,UTSA,Amer,11-21,-6.73,107.0,113.7,70.6,-.001,-0.01,105.8,105.9,-7.12
255,The Citadel,SC,11-21,-6.92,103.1,110.0,65.6,-.111,-0.15,106.5,106.6,-0.34
256,San Diego,WCC,18-15,-6.98,100.6,107.6,71.2,+.147,-0.25,107.2,107.4,-4.26
257,Miami OH,MAC,15-17,-6.98,99.8,106.7,67.5,-.016,-3.20,104.1,107.3,+0.78
258,Idaho St.,BSky,14-20,-7.07,103.4,110.5,64.1,-.054,-3.78,105.1,108.9,-1.14
259,Grambling St. 16,SWAC,21-15,-7.09,100.1,107.2,64.8,+.139,-4.42,101.9,106.3,+15.00
260,Nebraska Omaha,Sum,15-18,-7.17,103.9,111.1,67.4,-.056,-4.17,105.4,109.6,-1.88
261,Southern,SWAC,18-14,-7.33,97.2,104.6,67.5,+.068,-5.52,101.8,107.3,+14.75
262,Central Connecticut,NEC,20-11,-7.41,101.0,108.4,67.0,+.049,-10.13,99.4,109.5,-1.48
263,Lehigh,Pat,14-18,-7.43,99.5,106.9,70.1,-.073,-6.16,101.6,107.8,+7.42
264,Air Force,MWC,9-22,-7.43,105.9,113.4,61.9,-.046,+2.83,108.0,105.1,-9.84
265,Kennesaw St.,ASun,15-16,-7.57,105.3,112.9,74.1,+.019,-4.23,105.7,109.9,-0.49
266,Ball St.,MAC,15-16,-7.85,103.0,110.8,67.0,-.025,-6.34,102.7,109.0,-5.61
267,Texas Southern,SWAC,16-17,-7.85,98.9,106.7,68.1,+.019,-6.45,101.9,108.4,+11.69
268,Denver,Sum,17-17,-7.96,107.8,115.8,70.5,+.018,-3.60,105.2,108.8,-1.61
269,Queens,ASun,14-19,-7.98,104.0,112.0,72.8,+.037,-1.57,107.1,108.6,+5.26
270,Western Illinois,OVC,21-12,-8.03,97.9,105.9,64.8,+.121,-7.26,102.1,109.4,+1.41
271,Presbyterian,BSth,14-19,-8.04,103.1,111.2,67.5,-.031,-4.29,104.3,108.6,-7.22
272,Niagara,MAAC,16-16,-8.15,103.3,111.4,67.4,+.021,-6.28,101.1,107.3,-3.99
273,Jacksonville,ASun,16-17,-8.28,101.1,109.3,65.6,+.043,-3.86,106.3,110.2,+0.17
274,UMBC,AE,11-21,-8.34,105.0,113.4,73.2,-.079,-4.85,101.9,106.8,-7.12
275,Howard 16,MEAC,18-17,-8.38,105.6,113.9,67.8,+.011,-7.02,100.6,107.6,-0.13
276,Bucknell,Pat,14-19,-8.46,100.2,108.7,64.9,-.023,-5.98,102.0,108.0,+1.92
277,Central Michigan,MAC,18-14,-8.46,96.6,105.0,65.1,+.148,-3.62,104.2,107.8,+3.06
278,Canisius,MAAC,14-18,-8.54,100.1,108.7,66.9,+.026,-3.10,103.8,106.9,+5.19
279,North Dakota St.,Sum,15-17,-8.54,104.0,112.5,65.7,+.076,-1.73,106.9,108.6,+2.72
280,Georgia Southern,SB,9-24,-8.63,104.8,113.4,69.0,-.048,-1.08,105.4,106.4,-0.88
281,Utah Tech,WAC,11-20,-8.81,99.9,108.7,70.4,+.042,+0.67,105.3,104.6,+0.50
282,Middle Tennessee,CUSA,14-19,-8.82,98.1,106.9,65.6,+.072,+0.41,105.2,104.8,+0.31
283,Oral Roberts,Sum,12-19,-8.86,103.4,112.2,67.7,-.000,-1.04,106.7,107.7,+6.91
284,Binghamton,AE,15-15,-8.98,102.5,111.5,66.3,+.070,-3.78,102.8,106.5,-4.03
285,FIU,CUSA,11-22,-9.10,101.6,110.7,70.3,-.010,-1.27,104.2,105.5,-3.01
286,SIU Edwardsville,OVC,17-16,-9.69,101.3,111.0,67.2,+.015,-6.87,102.0,108.8,+0.90
287,Old Dominion,SB,7-25,-9.89,99.0,108.9,70.1,-.086,-0.18,106.3,106.5,+1.58
288,USC Upstate,BSth,10-20,-9.95,100.0,110.0,67.2,+.020,-0.73,106.7,107.5,+2.72
289,Delaware St.,MEAC,15-19,-9.98,95.8,105.8,68.9,-.010,-6.61,102.0,108.6,-0.79
290,New Mexico St.,CUSA,13-19,-9.98,99.4,109.3,66.3,+.065,+2.53,106.2,103.6,+6.67
291,Tennessee St.,OVC,18-15,-10.00,98.9,108.9,68.5,+.036,-6.95,102.2,109.2,+1.20
292,Wagner 16,NEC,17-16,-10.00,96.4,106.4,61.6,+.043,-7.47,100.8,108.3,-1.22
293,Sacred Heart,NEC,16-16,-10.09,102.1,112.2,69.3,-.028,-9.83,99.6,109.5,-4.24
294,Alcorn St.,SWAC,14-18,-10.15,106.5,116.6,66.5,+.054,-3.48,103.0,106.5,+15.12
295,Chicago St.,ind,13-19,-10.15,100.3,110.4,64.6,+.050,-1.08,105.4,106.5,-1.34
296,American,Pat,16-16,-10.40,103.5,113.9,62.9,-.006,-9.60,99.8,109.4,-5.01
297,Boston University,Pat,16-17,-10.47,98.3,108.7,65.9,+.008,-8.43,99.8,108.2,-2.43
298,Louisiana Monroe,SB,11-19,-10.64,100.1,110.7,67.3,+.027,-0.61,105.0,105.7,+1.58
299,Portland,WCC,12-21,-10.66,103.5,114.1,67.6,+.052,+2.14,107.8,105.7,+0.05
300,Valparaiso,MVC,7-25,-10.73,100.3,111.0,68.0,-.016,+2.66,107.3,104.7,-4.50
301,South Carolina St.,MEAC,14-18,-10.79,99.1,109.9,68.7,+.033,-4.71,102.8,107.5,+3.97
302,Le Moyne,NEC,15-17,-10.94,100.1,111.1,67.4,-.055,-8.72,99.9,108.6,-0.97
303,Bethune Cookman,SWAC,17-17,-10.98,97.9,108.9,69.9,+.060,-7.77,100.3,108.0,+0.23
304,DePaul,BE,3-29,-11.06,101.6,112.6,67.6,-.022,+13.04,113.2,100.2,+1.61
305,Western Michigan,MAC,12-20,-11.42,100.0,111.4,68.6,+.022,-3.30,103.9,107.2,+0.99
306,Southeastern Louisiana,Slnd,15-17,-11.52,98.7,110.3,64.9,+.041,-5.23,103.1,108.3,+6.82
307,Robert Morris,Horz,10-22,-11.55,101.8,113.4,67.1,-.097,-2.79,105.6,108.4,-0.79
308,Northern Illinois,MAC,11-20,-11.61,102.2,113.8,68.1,+.041,-0.15,106.5,106.6,+7.34
309,Jackson St.,SWAC,15-17,-11.66,100.6,112.3,68.5,+.095,-6.07,102.4,108.5,+7.30
310,Alabama St.,SWAC,13-19,-12.29,93.1,105.3,67.2,-.009,-5.62,102.0,107.7,+11.92
311,Campbell,CAA,14-18,-12.32,100.7,113.0,66.7,+.030,-5.11,104.2,109.3,-6.85
312,Northern Arizona,BSky,14-19,-12.41,99.1,111.5,68.3,+.095,-2.83,105.2,108.0,+0.19
313,Coastal Carolina,SB,9-22,-12.80,99.5,112.3,69.6,+.003,-2.43,105.1,107.5,-5.33
314,Sacramento St.,BSky,10-24,-13.00,98.2,111.2,64.0,-.004,-2.15,106.0,108.1,+2.62
315,Charleston Southern,BSth,10-20,-13.03,95.5,108.5,67.0,+.044,+0.48,107.3,106.8,+6.55
316,Bellarmine,ASun,8-23,-13.11,100.3,113.4,64.9,-.058,-0.26,108.2,108.4,+8.48
317,Elon,CAA,13-19,-13.31,101.8,115.1,67.5,+.050,-4.60,104.8,109.4,-2.32
318,Lafayette,Pat,11-21,-13.48,93.6,107.1,65.4,-.028,-5.76,102.7,108.4,+3.05
319,William & Mary,CAA,10-23,-13.56,100.7,114.3,65.9,-.062,-4.65,104.2,108.9,-5.78
320,Eastern Illinois,OVC,14-18,-13.78,96.1,109.9,66.8,+.008,-6.44,101.6,108.0,+3.92
321,Idaho,BSky,11-21,-13.99,98.3,112.3,65.0,-.019,-3.95,104.8,108.7,-2.31
322,South Dakota,Sum,12-20,-14.01,103.1,117.1,68.8,+.010,-4.49,104.5,109.0,-4.49
323,Navy,Pat,13-18,-14.30,96.8,111.1,65.6,-.020,-9.90,99.6,109.5,-5.76
324,Alabama A&M,SWAC,12-23,-14.36,94.2,108.6,70.6,+.028,-5.91,102.6,108.5,+4.77
325,Northwestern St.,Slnd,9-23,-14.89,97.7,112.5,67.5,-.093,-5.47,103.1,108.6,+2.72
326,Eastern Michigan,MAC,13-18,-15.12,96.9,112.1,65.4,+.090,-5.21,103.5,108.7,-3.65
327,Fairleigh Dickinson,NEC,15-17,-15.31,98.0,113.3,72.2,+.086,-9.09,100.3,109.4,-4.66
328,Southern Indiana,OVC,8-24,-15.87,96.0,111.9,69.1,-.082,-5.26,102.8,108.1,+5.66
329,UT Rio Grande Valley,WAC,6-25,-16.03,95.6,111.6,71.3,-.001,+1.01,105.6,104.6,+0.14
330,Prairie View A&M,SWAC,10-21,-16.52,94.7,111.2,70.8,+.013,-5.00,102.8,107.8,+8.61
331,Arkansas Pine Bluff,SWAC,13-18,-16.69,102.2,118.9,71.9,+.044,-7.53,101.0,108.5,+10.56
332,Tennessee Tech,OVC,10-21,-16.76,96.3,113.1,65.7,-.039,-5.13,103.2,108.3,+2.62
333,Texas A&M Commerce,Slnd,13-20,-16.76,94.7,111.5,66.3,+.067,-4.22,104.4,108.7,+10.00
334,Morgan St.,MEAC,11-20,-16.80,97.4,114.2,70.9,+.009,-5.22,102.9,108.1,+3.06
335,NJIT,AE,7-21,-17.03,97.5,114.5,66.3,+.026,-2.75,103.4,106.1,-2.32
336,Dartmouth,Ivy,6-21,-17.06,93.2,110.3,65.2,+.004,+0.80,107.5,106.7,-0.86
337,Manhattan,MAAC,7-23,-17.47,95.2,112.6,68.1,-.016,-3.60,102.7,106.3,+3.08
338,Florida A&M,SWAC,6-23,-17.66,93.3,111.0,68.4,-.040,-3.23,103.4,106.6,+18.88
339,Cal Poly,BW,4-28,-17.84,94.5,112.4,65.9,-.009,-1.06,105.6,106.7,-1.55
340,Central Arkansas,ASun,9-23,-17.97,97.2,115.2,69.3,+.022,-4.82,105.1,109.9,-3.68
341,Hampton,CAA,9-24,-18.04,94.5,112.6,69.8,-.000,-4.09,105.0,109.1,-3.53
342,New Orleans,Slnd,10-23,-18.33,97.8,116.2,71.6,-.034,-4.24,103.5,107.7,+7.28
343,LIU,NEC,7-22,-18.87,93.3,112.2,70.4,-.001,-5.93,101.5,107.4,+1.82
344,Army,Pat,10-22,-19.00,90.9,109.9,63.1,-.052,-9.30,100.5,109.8,-5.48
345,Incarnate Word,Slnd,8-23,-19.04,96.5,115.5,70.0,-.009,-6.84,102.2,109.0,-3.16
346,North Carolina A&T,CAA,7-25,-19.43,96.0,115.4,67.8,+.045,-2.33,105.0,107.4,+1.37
347,Maryland Eastern Shore,MEAC,9-20,-19.69,89.8,109.5,67.2,+.003,-4.57,102.9,107.5,+5.26
348,Buffalo,MAC,4-27,-19.70,95.4,115.1,69.2,-.017,-2.32,105.1,107.4,+0.90
349,Holy Cross,Pat,10-23,-19.72,100.7,120.4,65.9,+.017,-7.78,100.6,108.4,-3.54
350,Loyola MD,Pat,7-25,-20.27,93.3,113.6,65.8,-.008,-6.52,102.1,108.6,+0.56
351,Detroit Mercy,Horz,1-31,-20.52,96.9,117.5,66.9,-.068,-0.36,107.2,107.6,+5.91
352,Southeast Missouri St.,OVC,9-22,-21.33,91.3,112.7,69.2,+.016,-5.39,102.5,107.9,+2.97
353,VMI,SC,4-28,-22.07,89.2,111.2,74.7,-.060,+0.04,107.2,107.2,-3.14
354,Saint Francis,NEC,8-22,-22.26,94.4,116.7,65.5,+.021,-7.46,100.9,108.4,-0.45
355,Houston Christian,Slnd,6-23,-22.42,96.6,119.0,71.5,-.005,-3.11,104.6,107.7,+11.70
356,Lindenwood,OVC,9-22,-22.52,91.7,114.2,67.2,+.024,-7.21,101.5,108.7,-1.84
357,Siena,MAAC,4-28,-22.83,90.5,113.4,66.1,-.011,-3.83,103.5,107.3,-0.56
358,Pacific,WCC,6-26,-22.84,95.3,118.1,68.4,-.014,-0.13,106.2,106.4,-5.22
359,Stonehill,NEC,4-27,-22.93,91.9,114.8,67.7,-.078,-5.10,102.1,107.2,+4.10
360,IUPUI,Horz,6-26,-25.61,92.3,117.9,67.5,-.019,-3.06,106.1,109.2,-4.33
361,Coppin St.,MEAC,2-27,-25.73,85.7,111.4,66.2,-.057,-5.12,102.9,108.0,+0.66
362,Mississippi Valley St.,SWAC,1-30,-30.83,85.5,116.3,64.7,-.060,-2.12,104.4,106.5,+15.26
